	Movie	Review	Predicted
2412	Stalker	I respect it for being the inspiration to one of my favorite video games and it has got some amazing cinematography, scenery and photography. But I'm sorry this was just too friggin' boring and I see no reason for it to stretch out for nearly 3 hours. Also the dialogue mostly consists of very heavy handed and inaccessible philosophy and talk of danger that never manifests itself. I will most likely never watch it again	0
2413	Planet Terror	Not my cup of te...er blood. Brutal, corny, slowish and repetitive. If the makers are aware that they are making a bad movie, it still does not a good movie make.	0
2414	Stranger Things	Bland as hell 80s-revival-core for nostalgia-babies and non-fans of the genres it belongs to. Runs through every cliche happily with very little variation or any characterization. 	1
2415	Juno	Disliked it intensely. The dialog was stilted and unnatural, and the characters were annoying. Jason Bateman's character was made out to be a horrible bastard because he wanted to pursue his dream. Let's hope Diablo Cody goes back to stripping for hipster cred. 	1
2416	Bratz: The Movie	A lot of people don't like to slam kiddie movies. But, this shit is ruining America. 	2
2417	Predestination	Go f**k yourself, Ethan Hawke!	0
2418	Two Thousand Maniacs!	If you consider southerners to be a race, this is the most racist movie ever.	0
2419	Dark Days	One of the best documentaries I've ever seen, and a pretty kickass soundtrack by DJ Shadow. It's a look into the life of people who otherwise are considered nonexistant by society. Pretty uplifiting, as they're eventually given help in their situation. An example of a documentary that brings not only awareness to a situation, but also is instrumental in helping. 	2
2420	Stalker	I respect it for being the inspiration to one of my favorite video games and it has got some amazing cinematography, scenery and photography. But I'm sorry this was just too friggin' boring and I see no reason for it to stretch out for nearly 3 hours. Also the dialogue mostly consists of very heavy handed and inaccessible philosophy and talk of danger that never manifests itself. I will most likely never watch it again	0
2421	The Godfather	vut	1
2422	Star Wars: Episode VII - The Force Awakens	This, while very similar to A New Hope, was a brilliant rejuvination of what Star Wars is meant to be. (Standout perfomances by Harrison Ford, Daisy Ridley and Adam Driver)	2
2423	Venom	Tom Hardy!	1
2424	Her	little different, but also not extremely good, but nothing to learn	0
2425	L.A. Confidential	"Suspense, interesting characters and oooh, a twist... 
My kind of movie!"	2
2426	Willow	72.5	1
2427	Whiplash	You don't need to be a jazz lover to love this movie. This movie is about struggle, passion, and self confidence. The plot is so good, the sound, the cinematography, the performance (especially the 'not quite my tempo' guy) is so great. Love the crash scene, so thrilling. Love the catchphrase, memorable.	2
2428	The Fall	Amazing effects. Visually the movie is astounding. Love the story. The little girl in this movie really takes the cake though. She is probably 7 or 8 years old and she is amazing. She cracks me up. 	2
2429	Ex Machina	As you watch Ex Machina, you begin to get a sickening feeling, and slowly, you feel your stomach drop.  The tension builds to an unbearable place, and although some parts are a drag, Ex Machina successfully pulls off what it was trying to do while leaving a bitter aftertaste as well.	2
2430	Ex Machina	Garland's direction is incredible just for the fact that he completely commands what is shown on screen with such finesse and confidence.	2
2431	The Martian	Excellent	2
2432	What We Do in the Shadows	A dry look at what (semi-)eternal life would be like.  Death is approached with a laughable lightness in this dark comedy.  The acting is solid but the writing really makes this film a must-see.  It's a reminder that even if you are a non-human, you can still suffer from the daily doldrum of the human condition.  But the most refreshing moral is that even two groups who vehemently hate one another can get along if they've got a common bond.  Sometimes that bond's name is Stu.	2
2433	Kubo and the Two Strings	Kubo & The Two Strings both brings an interesting adventure tale to life, but also breathes a bittersweet message into a world of children's films that exist to entertain and not to teach or to instill values. Kubo and the Two Strings is not a film to put on to keep the kids busy whilst you cook dinner in a rush, it is one to be watched with them, learning alongside them, holding the youngest in your arms as this film delivers a deep, heartfelt & touching message in a gentle, understandable way.	2
2434	Léon: The Professional	Being a professional assassin is easy. Being a professional farter is much more rewarding.	2
2435	Memento	a brilliant mindbender	2
2436	No Country for Old Men	Excellent. The ending is off putting for some, I was originally puzzled by it, but the more I think about this movie, the more it makes sense.	1
2437	Interstellar	http://cinemuckblog.wordpress.com/2014/11/06/interstellar-2014/	1
2438	The Double	I cared about the non existant!	0
2439	Shaun of the Dead	I find it simply amazing that horror and comedy can manage to work together and independently as well. It's not just a fun zombie flick, it has a much more classic level that we can base many zombie films on. I've often thought that we can compare this to real life considering the technology revolution, but, besides that, you'll still be able to scream one time and laugh the next, and maybe even at the same time.	2
2440	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	I don't get what people like so much about this film, it has some great jokes like You can't fight in here! This is the war room! But other than that it just doesn't have enough humor for the film duration. Boring film for me.	0
2441	Three Billboards Outside Ebbing, Missouri	A movie drowning in negative emotions and almost completely devoid of positive ones, it features masterful tonal shifts and forces the audience to empathize in ways they'd rather not.	0
2442	Shaun of the Dead	I find it simply amazing that horror and comedy can manage to work together and independently as well. It's not just a fun zombie flick, it has a much more classic level that we can base many zombie films on. I've often thought that we can compare this to real life considering the technology revolution, but, besides that, you'll still be able to scream one time and laugh the next, and maybe even at the same time.	2
2443	Train to Busan	Yes, another zombie movie BUT & it is meant to be a big but-done well - NB is a serious zombie flic not a wacky, funny one. The zombies are remorseless & like a human tidal wave. The necessary claustrophobic locale is justifiable. There are people under pressure with betrayals & character changes forced by the situational pressure. A few soppy bits but they don't undermine the overall quality. Good suspense. If you like the genre-a must see, for others - give it a try, it's quite entertaining.	1
2444	Four Lions	Relies a bit heavily on the stupidity of some of the characters, but is quite funny.	0
2445	Drive	Very well made. 	2
2446	Blindspotting	It's an utterly exceptional film to tackle the weighty themes it does while remaining so fantastically entertaining.   Seex 3x	2
2447	The Martian	Good. In its essence a Robinson Crusoe-esque story, but It does bring in too many secondary characters in my opinion. It takes the focus away from Watney's problems and the sense of loneliness he probably would have had. The film doesn't address this enough. Still, I had fun watching it. It kept me engaged throughout, although it often felt the need to science it up. At first I kind of liked that, but it got old quick. The music could have had a better use than comedic relief.	2
2448	Drive	Enjoyment: 9/10, Plot: 7/10 Themes: 8/10 Cinematography: 9/10 Direction: 8/10 Acting: 8/10 Writing: 8/10 Score: 10/10 Editing: 8/10 Design: 8/10	2
2449	Captain Marvel	I loved the plot and the delivery on the cast's part. Also it was amazing to see young Fury and young Coulson (even if their appearance was basically only there for fan-service). Also Goose is the best character in the entire MCU I will not change my mind.	2
2450	Raiders of the Lost Ark	Probably the definitive adventure movie.	2
2451	A Cure for Wellness	I was so excited for this movie for months and hate to say I was pretty disappointed. It is such a beautiful film in terms of location and set, but lord have mercy there are too many loose ends. There are more questions than answers and not in a good way; more like I'm questioning how certain things were supposed to connect and why others were in there at all. The film had such potential to be thrilling and gripping but missed the mark by quite a bit.	0
2452	Ex Machina	Well written, perfectly tuned for mood & atmosphere, and the performances selling it all for one of the most over looked films of 2015	2
2453	The Animal	cleaver idea. Love the actor.	2
2454	Star Wars: Episode VIII - The Last Jedi	Yup, it's another star wars movie. At least it distracted JJ for a bit.	1
2455	Neighbors	Y'know, I really like Zach Efron. I think he's very good. The rest of the movie doesn't do much. You'll maybe laugh once or twice-- four times if you're really into it. Regardless, I don't highly recommend this one, it's just there.	0
2456	Captain Marvel	I loved the plot and the delivery on the cast's part. Also it was amazing to see young Fury and young Coulson (even if their appearance was basically only there for fan-service). Also Goose is the best character in the entire MCU I will not change my mind.	2
2457	V for Vendetta	The CGI'd up action scenes leave me cold and the politics of the film are juvenile. 	1
2458	20,000 Leagues Under the Sea	A very interesting, enjoyable adaptation.  Disney put a lot of money in this film, and it shows: gorgeous sets, especially the Nautilus, and pretty good effects for the time.  James Mason's intense performance as the urbane yet tortured Captain Nemo walks away (or should I say sails away?) with this movie, but Kirk Douglas's energy and Peter Lorre's... whatever-it-is keep the Mason-less scenes alive.	2
2459	Mission: Impossible III	JJ Abrams knows what he's doing, at least within the summer blockbuster framework but I think the film is just not good enough. 	0
2460	The Departed	This film ostensibly takes place in Boston, yet I don't think I saw a single garage tattoo or pregnant teenager in the entire movie. The characters are clean, articulate, and entirely too creative with their vulgarity. As a Boston movie, Casey Affleck's older brother's Gone Baby Gone hits closer to reality. But as a Boston gangster fantasy, the kind that gets white Americans excited about their remote Irish heritage and distant relation to Whitey Bulger, it's absolutely sensational.	2
2461	The Martian	When (if) he comes back we should duct-tape him to the ground just to see how he laughs his way back to space. 	0
2462	The Incredibles	The Incredibles is quite possibly my favorite animated movie.  Maybe it's not as groundbreaking as early Pixar films, as poignant as Miyazaki's movies, or as important as something like Wall-E, but The Incredibles has well developed characters, sharp humor, great pacing, and thrilling action sequences.  Beyond being a great animated film, The Incredibles is a fantastic adventure story.  On top of it all, it's easy to empathize with the characters who yearn for lost youth.  See this movie!	2
2463	The SpongeBob SquarePants Movie	Hell yes I'm a goofy goober. I saw this long after I was too old to be watching Spongebob, but I still found it pretty hilarious.	2
2464	Watchmen	really cool	2
2465	V for Vendetta	The CGI'd up action scenes leave me cold and the politics of the film are juvenile. 	1
2466	20,000 Leagues Under the Sea	A very interesting, enjoyable adaptation.  Disney put a lot of money in this film, and it shows: gorgeous sets, especially the Nautilus, and pretty good effects for the time.  James Mason's intense performance as the urbane yet tortured Captain Nemo walks away (or should I say sails away?) with this movie, but Kirk Douglas's energy and Peter Lorre's... whatever-it-is keep the Mason-less scenes alive.	2
2467	Mission: Impossible III	JJ Abrams knows what he's doing, at least within the summer blockbuster framework but I think the film is just not good enough. 	0
2468	Ex Machina	Not only is this film visually stunning, suspenseful, beyond exciting, mind-bending, and almost perfectly acted, it's also...shit, I didn't leave anything to put here. Well, it's fucking fantastic. Amazing performances by Oscar Isaac and Alicia Vikander propped up a weak performance by Domhnall Gleeson in a sci-fi suspense film that keeps you guessing all the time. If you weren't scared of Artificial Intelligence before watching this film, you are now.	2
2469	The Rocketeer	Worth it for a young Jennifer Connelly and a cracking performance by Timothy Dalton of the over the top arch villian, A real hoot. 	2
2470	The Rocketeer	Worth it for a young Jennifer Connelly and a cracking performance by Timothy Dalton of the over the top arch villian, A real hoot. 	2
2471	Raiders of the Lost Ark	Perfect.  Lucas/Spielberg's best collaboration	2
2472	Lost Highway	Exists halfway between reality and a nightmare. Uneasy erotic scenes and a truly disturbing 'mystery man' chill you to the bone. Deeply unsettling, makes your knees weak and gives you butterflies. Fantastic.	0
2473	Young Frankenstein	A classic comedy and one of the most brilliant spoofs of all time.  It doesn't overdo it and provides each gag with its own, bravura laugh.	2
2474	Religulous	You need to watch this if you want to know just how stupid people are; frightful and entertaining. 	0
2475	The Thing	Very....Very....Very....Good Movie...	2
2476	Angel Heart	mickey rourke was hot, i would love to have a date with that guy	1
2477	Deadpool	"It was pretty much everything it promised it would be. Flimsy origin story, and weak bad guy, but it was still a great time to watch.
"	2
2478	Rogue One: A Star Wars Story	Düpedüz bir reboot bölümü olan The Force Awakens'dan daha iyi. Biraz klasik takılsalardı daha çok keyif alabilirdim yine de. (Mesela açılış roll'ü yoktu, eski müzikler çok az kullanılıyor vs.) Memnunum gördüğümden.	2
2479	The Matrix	The only incredible film from the Matrix trilogy. Awesome storyline, great action, a nerd's dream. Seemingly deep in symbolism, it shows just how great these guys can write a story when they put their minds to it (although admittedly it was very much like Dark City)	2
2480	Rogue One: A Star Wars Story	Düpedüz bir reboot bölümü olan The Force Awakens'dan daha iyi. Biraz klasik takılsalardı daha çok keyif alabilirdim yine de. (Mesela açılış roll'ü yoktu, eski müzikler çok az kullanılıyor vs.) Memnunum gördüğümden.	2
2481	The Matrix	The only incredible film from the Matrix trilogy. Awesome storyline, great action, a nerd's dream. Seemingly deep in symbolism, it shows just how great these guys can write a story when they put their minds to it (although admittedly it was very much like Dark City)	2
2482	The Revenant	Incredibly gorgeous film-making about a vengeful tale out on the beastly, unforgiving American Frontier; Hardy is ruthless & DiCaprio's commitment is miraculous, delivering a mortally uncompromising, nearly wordless performance. An extraordinary cinematic experience that's unhampered & punishable yet worth every drop of blood. 	2
2483	District 9	Brilliantly executed.	2
2484	The Room	Words cannot describe how brilliant this film is. Godard, Tarantino, De Palma; all idiots. Wiseau is truly my generation's first visionary.	2
2485	Shaun of the Dead	Love these guys.  This film is a classic.  Hilarious and fun.	2
2486	The Unbearable Lightness of Being	Il libro e' molto superiore qualitativamente; un film un po' anonimo e lento, ma che si guarda volentieri.	0
2487	Ex Machina	A terrible ending. very disappointing. Oscar Isaac was a  shining star, though.	0
2488	Hero	Art Direction is simply phenomenal.	2
2489	Carlito's Way	Best Pacino's role ever!	2
2490	Shaun of the Dead	Love these guys.  This film is a classic.  Hilarious and fun.	2
2491	Ex Machina	A terrible ending. very disappointing. Oscar Isaac was a  shining star, though.	0
2492	Carlito's Way	Best Pacino's role ever!	2
2493	Home Alone	A perfect family movie. I grew up with it. MY entire family would enjoy watching it too.	2
2494	Hero	Art Direction is simply phenomenal.	2
2495	No Country for Old Men	It's been too long since I've seen a film that knew exactly how to toy with me and keep me from guessing what was going to happen next, even though I knew the basic plot points. 	0
2496	Apollo 13	For a tech lover, this is awe inspiring.  The beautiful machines and extremely well-done CGI of the launch bring copious tears to these nerdy eyes.  The emotions of the characters were also well expressed.    Hanks, who is always good, did especially well with his role here as he is a big fan of space travel and a closet astronaut.  He also helped with the writing of this movie, which is probably why this is Ron's best.  But, Ron did make some characters look more like idiots than they were.	1
2497	The Blind Side	This movie was made to appeal to idiots. And the creators knew what they were doing.	0
2498	Infernal Affairs II	a pointless prequel that was probably made just to make money off infernal affairs which was a great movie	0
2499	Shaun of the Dead	Fantastic. Loved the early scenes with the carnage happening in the background with Shaun blissfully unaware. The end was a little deus ex machina, but Yvonne showing up randomly was foreshadowed and his party meeting up with hers was easy to consider as how far the joke would go. Again, fantastic movie.	2
2500	Shaun of the Dead	Fantastic. Loved the early scenes with the carnage happening in the background with Shaun blissfully unaware. The end was a little deus ex machina, but Yvonne showing up randomly was foreshadowed and his party meeting up with hers was easy to consider as how far the joke would go. Again, fantastic movie.	2
2501	Scooby-Doo 2: Monsters Unleashed	I can't believe I'm admitting that I watched this.	2
2502	City of God	Like being hit by a semi-truck - this is the most exhilarating experience you can have in film. Cannot recommend this movie highly enough!!!	0
2503	Drive	One of the few movies I consider perfect.	2
2504	Whiplash	A wonderful, musical ride with great direction. The only fault was in the story being a little cliche.	2
2505	Ex Machina	This movie relied heavily on it's beautiful scenery and hot robots. I enjoyed the subtle tension throughout however I couldn't say I was very entertained. Predictable story line and pretentious dialogue.	2
2506	Hereditary	A very unsettling psychological horror. The movie creates a building tension that climaxes in the most WTF way that I've seen in some time. People could not keep their laughter at the absurd elements of the film. There is too much in the movie to really grasp in one viewing. Toni Collette is incredible as an achingly haunted woman who is desperately clinging to her family as they all plunge towards surreality. It doesn't frighten you with scares but it disturbs you from the inside.	1
2507	The Good, the Bad and the Ugly	Everything that is great about cinema can be found here, and it is glorious.	2
2508	The Notebook	Great love story, would've been better with somebody other than rachel mcadams	2
2509	The Thing	One of the absolute best horror films of all, intellectual and bloody at the same time, with the real fear being paranoia of each other. Let's pray they never decide to remake this gem.	2
2510	The Notebook	Great love story, would've been better with somebody other than rachel mcadams	2
2511	The Thing	One of the absolute best horror films of all, intellectual and bloody at the same time, with the real fear being paranoia of each other. Let's pray they never decide to remake this gem.	2
2512	It's Always Sunny in Philadelphia	I don't think there is a show that makes me laugh harder on a more consistent basis than this one. God Bless Frank Reynolds. 	2
2513	Rear Window	Its interesting how Jeff (the main character) interprets the observations he witnesses. Its all a case of context, I suppose. Hearing him query other peoples interpretations of what he saw made me doubt the truth behind the circumstances. It features a strong performance from both James Stewart and Grace Kelly, who is quick to challenge his assumptions. It makes me wonder what do others read in to otherwise seemingly every day activities and observations?.	1
2514	Troy	Very good movie.  Brad Pitt does an excellent job as the half-god Achilles.  Eric Bana is equally impressive as the mighty Hector and Peter O'Toole is esquisite as the Trojan king Priam.  The fighting scenes are excellent, and there is a wonderful plot here.  This is the kind of movie 300 could have been, if it had more than fighting in it.	2
2515	Fantastic Mr. Fox	had to tie a handkerchief round my jaw in order to keep it closed. Feels as if my eyes got laid. 	1
2516	Gravity	Sublime, life-affirming IMAX 3D experience. Never felt THIS close to being in space before!	2
2517	The Witch	That feeling between I am fine and I am having an anxiety attack in movie form.	0
2518	My Neighbor Totoro	weird and nice stuffs happen in this movie.	1
2519	Pacific Rim	the characters are uninteresting and dialogues are mostly bad, but then again, who gives a shit? This movie knows what it has to do and it does it very well.	0
2520	40 Days and 40 Nights	Do you remember the boob-field dream sequence....? Unfortunately i do.	0
2521	This Is Spinal Tap	First saw it as a teenager and loved it but started loving it even more as I got older and the more you know about the escapades of rock bands the funnier it gets.  Chris Guest is a huge talent and I wish he had done more early on.  David St Hubbins letting Nigel Tufnel come on stage for a gig after he' s left the band is so close to home.	1
2522	How the Grinch Stole Christmas	There is a Grinch, and he steals Christmas, but that's where the similarities end.  The Whos down in Whoville are opposite from how Seuss portrayed them, and the original moral (Christmas not being about material goods) is replaced with You shouldn't be mean to people just because they're different.  'Cause that's only moral allowed in children's movies nowadays.	0
2523	Nacho Libre	Quite surprisingly a great film!	2
2524	47 Meters Down	How to sabotage an otherwise great movie with a terrible ending.	2
2525	Star Wars: Episode VII - The Force Awakens	How did they manage to make Kylo Ren look so cool but be so much more annoying than Anakin. Fucking hell. 	0
2526	Young Frankenstein	My personal favorite Brooks film, simply because it respects the audience a little bit more than usual and doesn't smash them in the face with wackiness. Sure it's wacky, but it's balanced with with the right amount of subtlety. If only he'd used this approach more often.	2
2527	Le Samouraï	With respect to its speechlessness ,but get tired of  irritating rhythm and very ordinary story, telling nothing.	0
2528	Rear Window	Great cinematography and suspense, and, really, the setting for this movie is so interesting and well set up that it just makes looking at it so enjoyable. 	2
2529	Woman in the Dunes	#630	1
2530	Star Wars: Episode VII - The Force Awakens	Good by measure of production values, but lacks greatly in spirit, very uninspired film. Characters lack of charisma is disturbing, only the main character is good.	1
2531	Gravity	Sublime, life-affirming IMAX 3D experience. Never felt THIS close to being in space before!	2
2532	The Witch	That feeling between I am fine and I am having an anxiety attack in movie form.	0
2533	My Neighbor Totoro	weird and nice stuffs happen in this movie.	1
2534	Pacific Rim	the characters are uninteresting and dialogues are mostly bad, but then again, who gives a shit? This movie knows what it has to do and it does it very well.	0
2535	Encounters at the End of the World	Very different look at different people who crave different things. We need more of these folk.	2
2536	Bratz: The Movie	A very intelligent movie filled with smart dialogue and deep meaning. 	2
2537	Big Girls Don't Cry	the movie spirals into the depths of near plausible depression, and it is probably one of the best and oddest girl bonding movies i've ever seen. 	2
2538	Shaun of the Dead	Everything I had hoped from Wright, Pegg and Frost. They clearly LOVE horror movies, but with this they took the zombies into our lives. Theres so much truth in this movie... get to the pub. Simple. True. FUNNY!  [SUPPORTED THEARTICALLY]	2
2539	Se7en	David Fincher makes a dark, really compelling thriller. This is a story about the absolutely inevitability of sin. It's hard to watch, and hard to stomach but is obviously a film with mastery over every single aspect of film making.	1
2540	Maid in Manhattan	I hate to admit it but i really do like this movie	0
2541	American Beauty	Extremely overrated film about nothing.	0
2542	American History X	Absolutely sensational performance by Edward Norton, portraying a transformation from neo-nazi to second coming.  Stacy Keach and Avery Brooks shine in pivotal roles, but Norton's is the performance of a lifetime.	2
2543	Inception	Best thing about this movie (and there is a lot to choose from): You can take almost anyone, and everyone will enjoy it.	2
2544	Dr. Horrible's Sing-Along Blog	Whedon. NPH. Nothing more needs to be said.	1
2545	Pan's Labyrinth	By and far my favorite movie ever thus far. The acting is phenomenal on all accounts and the story, the fairy tale for adults, is dark, twisted, and epic. I know some people who won't watch this film just because it's in Spanish and they don't like subtitles. Frack them, this is easily the best movie ever.	2
2546	Kazaam	Real Score: 36363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636	2
2547	Donnie Darko	Strange, thought-provoking move that explores the troubled mind of Donnie Darko, maniacally played by Jake Gyllenhaal.  This movie has my favorite female cast, including the always stunning Drew Barrymore, Jena Malone, Mary McDonnel, Maggie Gyllenhaal, and Katharine Ross.  Through the film, we come to understand the inner workings of a troubled teen living in suburbia.  The script can be slightly confusing, but the story is entrancing from the beginning.  Beautiful, suspense-filled film.	2
2548	Enchanted	Its cute.  The chipmunk is the star of the show!!!	2
2549	Star Wars: Episode VII - The Force Awakens	Good by measure of production values, but lacks greatly in spirit, very uninspired film. Characters lack of charisma is disturbing, only the main character is good.	1
2550	Maid in Manhattan	I hate to admit it but i really do like this movie	0
2551	Pan's Labyrinth	By and far my favorite movie ever thus far. The acting is phenomenal on all accounts and the story, the fairy tale for adults, is dark, twisted, and epic. I know some people who won't watch this film just because it's in Spanish and they don't like subtitles. Frack them, this is easily the best movie ever.	2
2552	Kazaam	Real Score: 36363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636	2
2553	American History X	Absolutely sensational performance by Edward Norton, portraying a transformation from neo-nazi to second coming.  Stacy Keach and Avery Brooks shine in pivotal roles, but Norton's is the performance of a lifetime.	2
2554	Inception	Best thing about this movie (and there is a lot to choose from): You can take almost anyone, and everyone will enjoy it.	2
2555	Dr. Horrible's Sing-Along Blog	Whedon. NPH. Nothing more needs to be said.	1
2556	Inglourious Basterds	Surprisingly funny; reminds me of earlier Quentin Tarantino work such as 'Four Rooms' with creatively interlocking story lines.  Plenty of gore and suspense - I'd certainly watch this one again.	2
2557	Gummo	Simply stated-this movie was horrible! I couldn't even get through it. I don't understand how a tornado could have screwed up these people so much. Cat killing and fornication with the mentally challenged is not even a slight bit entertaining to me. What the hell was this?	0
2558	Donnie Darko	Strange, thought-provoking move that explores the troubled mind of Donnie Darko, maniacally played by Jake Gyllenhaal.  This movie has my favorite female cast, including the always stunning Drew Barrymore, Jena Malone, Mary McDonnel, Maggie Gyllenhaal, and Katharine Ross.  Through the film, we come to understand the inner workings of a troubled teen living in suburbia.  The script can be slightly confusing, but the story is entrancing from the beginning.  Beautiful, suspense-filled film.	2
2559	Enchanted	Its cute.  The chipmunk is the star of the show!!!	2
2560	Young Frankenstein	My personal favorite Brooks film, simply because it respects the audience a little bit more than usual and doesn't smash them in the face with wackiness. Sure it's wacky, but it's balanced with with the right amount of subtlety. If only he'd used this approach more often.	2
2561	Audition	Great thriller, I admit the slow start would put many off but it's a great surreal view of a really bad date	2
2562	The Godfather	Pretty good, a bit long though.	2
2563	Twilight	Vampire baseball. Beautiful, sparkling vampire baseball.	2
2564	Four Lions	An extremely funny yet unsettling view of terrorism in London. While most of the situations are hilarious (blowing up crows, the costumes, etc.), the movie still carried a dark overtone... maybe because there are idiot jihadists out there in public. But there was also a lot of quick, witty dialogue, so I couldn't help but smirk and laugh the whole time through.	2
2565	Blood Freak	Kind of impossible to rank - it's hilariously enjoyable but completely and utterly inept.  Seriously, the production values and pacing make Ed Wood look like Orson Welles; but it's certainly one of the gems of so-bad-it's-good cinema.	2
2566	Wonder Woman	Can't believe I've been tricked into watching yet another mediocre superhero film	0
2567	AVP: Alien vs. Predator	although the movie had an interesting beginning, it declined in free fall within seconds. 	0
2568	Jurassic Park	Monumental. This is what you happens when you team up the best Sci-Fi/Thriller author with the best director and the best composer. The production equivalent of the 1992 Dream Team put together one of the most well known, epic films ever.	2
2569	The Big Lebowski	A great cult hit with memorable quotes and a striking style. More awesome than you think.	2
2570	AVP: Alien vs. Predator	although the movie had an interesting beginning, it declined in free fall within seconds. 	0
2571	Bottle Shock	Alan Rickman plays Steven Spurrier, a British wine snob who goes to California in 1976 to see if he can find wines to rival the French wines for a publicity stunt -a blind taste test in what became known as The Judgement of Paris.  It is good if not as earthshattering as its subject matter - Rickman is especially funny and expressive as he tastes Napa Valley wines, guacamole and KFC for the first time.	1
2572	Equilibrium	I will never understand everyone's love for this movie. Its an absolute rip off of Matrix/1984/Fahrenheit 451. Gun-kata is for 12 year olds and manchildren and every single action scene plays out like it was written by people on GameFAQs on the fanfiction board. The dystopian future is handled in the most hamfisted way possible its absolutely ridiculous. Bales worst role and I genuinely feel bad for him for being in this movie that settles for banality and out right plagarism. 	0
2573	Twilight	exaggerated vampire image with ridiculous color scheme, very poor establishment of the story, this movie would only rock virgin/horny minds of teenagers, with a love story that's supposed to develop between the main characters, which not likely would convince nor satisfy any sensible viewer. 	0
2574	Raiders of the Lost Ark	God vs. Nazis.  How cool is that?	0
2575	Head-On	Scorching tale of two Turkish immigrants in Germany, who meet in a hospital after both attempt suicide, and how their marriage of convience (she wants to escape her controlling family) leads to unexpected developments; a bit sluggish at times, but ultimately very rewarding, thanks a script written with depth and affection, and especially due to the unforgettable performances of the two leads.	2
2576	Requiem for a Dream	To Sad to enjoy.	0
2577	Roma	Beautifully shot, but has too much of the AUTEUR(c) stamp on it. A movie that tries to hard to be something more than a movie -- every scene presented as SIGNIFICANT. But the cinematography is gorgeous. 	2
2578	Gattaca	Powerful story of a dystopian future. Raises questions about what makes a person have value. Anyone who enjoys intelligent science fiction will not be disappointed.	2
2579	Salt	This movie made me feel like I un-learned my degree. It gives the audience absolutely no credit by telling a story that fundamentally does not make any sense. The characters are unlikable, relationships and motives are unbelievable; many characters are seemingly added only to tie up loose ends and offer no value to the overall story. Save your money on this and go see Inception again.	0
2580	City of God	one of my favorite films. a lot of entertainment.	2
2581	The Hours	One note. A film that confuses slow pacing and a beige atmosphere with actual artistry. Soulless and boring, and has a flat view of depression, which is a bit offensive. 	0
2582	The Truman Show	great film	2
2583	Coco	Pixar is getting lazy.	0
2584	Predator 2	a hollow shell of the first film but at least bill paxton and gary busey are there to ham it up	2
2585	Serenity	"Excellent sci-fi at it's most innovative. 

What would happen if Han Solo got his own movie? "	2
2586	Memento	An amazing piece of filmmaking that brings up a great deal of questions about our ways of knowing and whether or not our goals are truly in our best interests. It innovates without being pretentious.	2
2587	Isle of Dogs	Not his best work, but a bad Wes film is still enjoyable. 	2
2588	Spirit of the Beehive	Watching this film is detaching oneself from reality, and just letting Ana Torrent and the Spanish countryside take you on a little bit of a journey. The little girl tells the story through the reflection in her big brown eyes- we sympathize with her every move, and as the movie begins to take on an almost Frankenstein-like aura itself, I was left awed as the credits began to role and beyond, as I was entangled in silence, I had to let my breath come back and wonder... what had I just seen? One 	2
2589	The Gorgon	Gets points for originality (using a monster from Greek Mythology in a Gothic setting instead of rehashing a popular, pre-established creature). Also gets points for acting, but It's a Hammer film from the 60s ( all the acting was pretty much great in these). Cushing sports a killer 'stache as does Lee. I suppose matching mustaches were in their contracts for this one. The film is a bit repetitive but occasionally effective. Equal parts classy/great and boring/cheesy. A '70' I say! 	0
2590	Spirit of the Beehive	Watching this film is detaching oneself from reality, and just letting Ana Torrent and the Spanish countryside take you on a little bit of a journey. The little girl tells the story through the reflection in her big brown eyes- we sympathize with her every move, and as the movie begins to take on an almost Frankenstein-like aura itself, I was left awed as the credits began to role and beyond, as I was entangled in silence, I had to let my breath come back and wonder... what had I just seen? One 	2
2591	The Gorgon	Gets points for originality (using a monster from Greek Mythology in a Gothic setting instead of rehashing a popular, pre-established creature). Also gets points for acting, but It's a Hammer film from the 60s ( all the acting was pretty much great in these). Cushing sports a killer 'stache as does Lee. I suppose matching mustaches were in their contracts for this one. The film is a bit repetitive but occasionally effective. Equal parts classy/great and boring/cheesy. A '70' I say! 	0
2592	Black Hawk Down	the athmosphere, that is created, is probably the deepest ive ever seen in movies about modern war (WWII not included, ofcourse). it really makes you think.	2
2593	The Golden Girls	Oh come on, surely the best ever! Cracking script that still seems risqué even today. Stellar cast perfectly matched to roles. Much missed	2
2594	Twilight	Vampire baseball. Beautiful, sparkling vampire baseball.	2
